ID,cluster,label
ZINCc70000001nOY,cluster_0026,c_0026_002
ZINCc70000001EyU,cluster_0026,c_0026_003
ZINCed000000RGgy,cluster_0026,c_0026_004
ZINCge000000UcIY,cluster_0026,c_0026_005
ZINCg5000001eoT6,cluster_0027,c_0027_001
ZINCc90000001on8,cluster_0027,c_0027_002
ZINCf5000000ZuBV,cluster_0027,c_0027_003
ZINCgl0000012Wld,cluster_0027,c_0027_004
ZINCgk000001lfuh,cluster_0028,c_0028_001
ZINCe6000000YYwM,cluster_0028,c_0028_002
ZINCfk0000010jMg,cluster_0028,c_0028_003
ZINCfa000000ZJxr,cluster_0028,c_0028_004
ZINCfu0000008Dq2,cluster_0029,c_0029_001
ZINCgu000000jSqx,cluster_0029,c_0029_002
ZINCfs0000007rUP,cluster_0030,c_0030_001
ZINCft00000084td,cluster_0030,c_0030_002
ZINCfk000001bDaM,cluster_0031,c_0031_001
ZINCeg0000016n6m,cluster_0031,c_0031_002
ZINCga000001gDnx,cluster_0031,c_0031_003
ZINCfv0000008YZO,cluster_0032,c_0032_001
ZINCgr000000zavn,cluster_0032,c_0032_002
ZINCfh000000hm8i,cluster_0033,c_0033_001
ZINCfb000000dFIu,cluster_0033,c_0033_002
ZINCfb000000dFIt,cluster_0033,c_0033_003
ZINCfk000000WUHo,cluster_0033,c_0033_004
ZINCew0000004eag,cluster_0034,c_0034_001
ZINCcp0000001wRV,cluster_0034,c_0034_002
ZINCdt0000001XrW,cluster_0034,c_0034_003
ZINCel000000WvqM,cluster_0034,c_0034_004
ZINCbi0000001Dp3,cluster_0035,c_0035_001
ZINCbc0000001CYz,cluster_0035,c_0035_002
ZINCbh0000001DkB,cluster_0035,c_0035_003
ZINCbg0000002Fjw,cluster_0035,c_0035_004
ZINCgm00000138JA,cluster_0036,c_0036_001
ZINCfs0000007eSx,cluster_0036,c_0036_002
ZINCgy000000nDYP,cluster_0036,c_0036_003
ZINCgw000000lWVd,cluster_0037,c_0037_001
ZINCgx000000n5KB,cluster_0037,c_0037_002
ZINCgv000000kKMw,cluster_0037,c_0037_003
ZINCgv000000kpdD,cluster_0038,c_0038_001
ZINCfn0000010Ah7,cluster_0038,c_0038_002
ZINCf9000000WFRL,cluster_0039,c_0039_001
ZINCfg000000WOra,cluster_0039,c_0039_002
ZINCfi000000WRsj,cluster_0039,c_0039_003
ZINCfu00000088TK,cluster_0040,c_0040_001
ZINCel000000ZgVU,cluster_0040,c_0040_002
ZINCgg000001je33,cluster_0040,c_0040_003
ZINCfm000001c9pa,cluster_0041,c_0041_001
ZINCde000000YNbS,cluster_0041,c_0041_002
ZINCdc0000014hiv,cluster_0041,c_0041_003
ZINCeu0000003Uw9,cluster_0042,c_0042_001
ZINCes0000003qQV,cluster_0042,c_0042_002
ZINCer0000002Xd8,cluster_0042,c_0042_003
ZINCen000001okWI,cluster_0043,c_0043_001
ZINCbi0000002zeH,cluster_0043,c_0043_002
ZINCdk000001nZaM,cluster_0043,c_0043_003
ZINCep0000008xDw,cluster_0044,c_0044_001
ZINCeq000000vsYn,cluster_0045,c_0045_001
ZINCeq000000vt74,cluster_0045,c_0045_002
ZINCfu000000vK2I,cluster_0045,c_0045_003
ZINCdr000000IXLX,cluster_0046,c_0046_001
ZINCcn0000002vZB,cluster_0046,c_0046_002
ZINCdr000000JDsB,cluster_0046,c_0046_003
ZINCdf000000YNHs,cluster_0047,c_0047_001
ZINCcc0000001FfA,cluster_0047,c_0047_002
ZINCe9000000Z16T,cluster_0047,c_0047_003
ZINCc50000001DZT,cluster_0048,c_0048_001
ZINCgt000000iJcp,cluster_0049,c_0049_001
ZINCgr000000f60K,cluster_0049,c_0049_002
ZINCge000000A09n,cluster_0050,c_0050_001
ZINCfa000000d1DD,cluster_0050,c_0050_002
ZINCgy000000AiRz,cluster_0051,c_0051_001
ZINCgs000000zlEs,cluster_0051,c_0051_002
ZINCgl000001oe89,cluster_0052,c_0052_001
ZINCfh000001nXpP,cluster_0052,c_0052_002
ZINCgv000000zJPF,cluster_0053,c_0053_001
ZINCel000000Ziba,cluster_0053,c_0053_002
ZINCgt000000zvu0,cluster_0054,c_0054_001
ZINCeo000000Zo4n,cluster_0054,c_0054_002
ZINCg6000001fdmO,cluster_0055,c_0055_001
ZINCgo000000XRmH,cluster_0056,c_0056_001
ZINCfk000000WUkG,cluster_0056,c_0056_002
ZINCgq000000eqQX,cluster_0057,c_0057_001
ZINCgg000000Uk4I,cluster_0058,c_0058_001
ZINCfk000000TfSM,cluster_0058,c_0058_002
ZINCft0000007vee,cluster_0059,c_0059_001
ZINCfn000000Tno3,cluster_0060,c_0060_001
ZINCfr0000006KAr,cluster_0061,c_0061_001
ZINCfs000000y0zK,cluster_0061,c_0061_002
ZINCfk000000WUIi,cluster_0062,c_0062_001
ZINCen000001o9AT,cluster_0063,c_0063_001
ZINCdf000001o9B2,cluster_0063,c_0063_002
ZINCet000000xD1C,cluster_0064,c_0064_001
ZINCcn0000001HBc,cluster_0064,c_0064_002
ZINCec000001omIN,cluster_0065,c_0065_001
ZINCd8000001obbx,cluster_0065,c_0065_002
ZINCed0000004XaQ,cluster_0066,c_0066_001
ZINCcj0000001GDR,cluster_0066,c_0066_002
ZINCef0000005BP4,cluster_0067,c_0067_001
ZINCdh0000001rtI,cluster_0067,c_0067_002
ZINCdd000000R1UK,cluster_0068,c_0068_001
ZINCd5000000YJgq,cluster_0069,c_0069_001
ZINCc50000001E7h,cluster_0069,c_0069_002
ZINCdb000000YLKE,cluster_0070,c_0070_001
ZINCdp000001nYhD,cluster_0071,c_0071_001
ZINCcm0000002hHH,cluster_0071,c_0071_002
ZINCch0000002zes,cluster_0072,c_0072_001
ZINCci0000002zeq,cluster_0072,c_0072_002
ZINCc60000001Yof,cluster_0073,c_0073_001
ZINCc90000001oAg,cluster_0073,c_0073_002
ZINCb50000002rBF,cluster_0074,c_0074_001
ZINCb50000002Ft7,cluster_0075,c_0075_001
ZINCa40000001JOE,cluster_0075,c_0075_002
ZINCg9000001g7dF,cluster_0076,c_0076_001
ZINCgx000000nwKs,cluster_0077,c_0077_001
ZINCg9000000uVTR,cluster_0078,c_0078_001
ZINCgn000000XPzi,cluster_0079,c_0079_001
ZINCgt000000hI6K,cluster_0080,c_0080_001
ZINCg80000011jL2,cluster_0081,c_0081_001
ZINCgq000000dAf6,cluster_0082,c_0082_001
ZINCgr000000fbub,cluster_0083,c_0083_001
ZINCgf000000Xq0w,cluster_0084,c_0084_001
ZINCgq000000EMHm,cluster_0085,c_0085_001
ZINCgj0000012JSG,cluster_0086,c_0086_001
ZINCgq000000yX9Q,cluster_0087,c_0087_001
ZINCgw000000wmMy,cluster_0088,c_0088_001
ZINCgh0000012i8o,cluster_0089,c_0089_001
ZINCg80000011kbA,cluster_0090,c_0090_001
ZINCgq000000EN9R,cluster_0091,c_0091_001
ZINCgb000000wpLw,cluster_0092,c_0092_001
ZINCgy000000Hgd0,cluster_0093,c_0093_001
ZINCft0000007ZQO,cluster_0094,c_0094_001
ZINCfg000000WO2z,cluster_0095,c_0095_001
ZINCfe000000ZW7C,cluster_0096,c_0096_001
ZINCf5000001ooTR,cluster_0097,c_0097_001
ZINCfe000000T5SV,cluster_0098,c_0098_001
ZINCfd000000eQMl,cluster_0099,c_0099_001
ZINCfj0000010hCB,cluster_0100,c_0100_001
ZINCfe000000T412,cluster_0101,c_0101_001
ZINCfs0000007q4J,cluster_0102,c_0102_001
ZINCf8000000ZGc6,cluster_0103,c_0103_001
ZINCfa0000019jiA,cluster_0104,c_0104_001
ZINCfg000000gNAR,cluster_0105,c_0105_001
ZINCfn0000010ySN,cluster_0106,c_0106_001
ZINCfr000000vFzU,cluster_0107,c_0107_001
ZINCfu0000008fmf,cluster_0108,c_0108_001
ZINCf900000193Od,cluster_0109,c_0109_001
ZINCft0000007Abo,cluster_0110,c_0110_001
ZINCfs0000006QXY,cluster_0111,c_0111_001
ZINCfs000000y45k,cluster_0112,c_0112_001
ZINCfj000000ioAd,cluster_0113,c_0113_001
ZINCfh000001aTO9,cluster_0114,c_0114_001
ZINCeb000000Z34W,cluster_0115,c_0115_001
ZINCen000000RZYJ,cluster_0116,c_0116_001
ZINCeq0000002BvD,cluster_0117,c_0117_001
ZINCec000000Z3Ad,cluster_0118,c_0118_001
ZINCes000000vu9C,cluster_0119,c_0119_001
ZINCen0000007QAJ,cluster_0120,c_0120_001
ZINCel000000RVv8,cluster_0121,c_0121_001
ZINCet0000003vor,cluster_0122,c_0122_001
ZINCei0000016Aiy,cluster_0123,c_0123_001
ZINCen0000007Ukh,cluster_0124,c_0124_001
ZINCem0000007Ewq,cluster_0125,c_0125_001
ZINCes000000vu9d,cluster_0126,c_0126_001
ZINCeg0000005SC5,cluster_0127,c_0127_001
ZINCen000000WxdX,cluster_0128,c_0128_001
ZINCe4000000YXQe,cluster_0129,c_0129_001
ZINCes000000J73i,cluster_0130,c_0130_001
ZINCej0000016HIm,cluster_0131,c_0131_001
ZINCe5000000YWLy,cluster_0132,c_0132_001
ZINCe9000000Z1cy,cluster_0133,c_0133_001
ZINCel000000ZiE1,cluster_0134,c_0134_001
ZINCei000000WtiP,cluster_0135,c_0135_001
ZINCde00000018oE,cluster_0136,c_0136_001
ZINCdq0000001HkY,cluster_0137,c_0137_001
ZINCd700000143X7,cluster_0138,c_0138_001
ZINCdq0000001Imy,cluster_0139,c_0139_001
ZINCdd0000000XLJ,cluster_0140,c_0140_001
ZINCdi000000YP0a,cluster_0141,c_0141_001
ZINCd9000000QUXt,cluster_0142,c_0142_001
ZINCda000001otv9,cluster_0143,c_0143_001
ZINCdn000000RjeW,cluster_0144,c_0144_001
ZINCdz000000xvrv,cluster_0145,c_0145_001
ZINCd5000000YIWK,cluster_0146,c_0146_001
ZINCd40000000sqg,cluster_0147,c_0147_001
ZINCdn000000RjiR,cluster_0148,c_0148_001
ZINCdh000000YOxh,cluster_0149,c_0149_001
ZINCd7000001nY22,cluster_0150,c_0150_001
ZINCde000001oeyv,cluster_0151,c_0151_001
ZINCdl000000WihJ,cluster_0152,c_0152_001
ZINCdw000000J125,cluster_0153,c_0153_001
ZINCdb000000QZCr,cluster_0154,c_0154_001
ZINCdg000001owro,cluster_0155,c_0155_001
